year,state,ObesityPercent,NoLeisureActivityPercent
2011,Georgia,37.3,29.43
2011,Georgia,23.9,36.44
2011,Georgia,34.55,37.7
2011,Georgia,23.9,21.53
2011,Georgia,38.71,20.61
2011,Georgia,43.59,37.7
2011,Georgia,35.24,34.94
2012,Georgia,25.82,33.69
2011,Georgia,42.78,42.01
2012,Georgia,36.79,43.28
2011,Georgia,27.83,29.68
2011,Georgia,27.5,26.69
2012,Georgia,29.56,43.15
2012,Georgia,21.5,37.17
2011,Georgia,26.16,19.29
2011,Georgia,42.03,34.65
2011,Georgia,43.77,37.41
2011,Georgia,29.33,40.47
2011,Georgia,34.58,42.2
2012,Georgia,30.51,19.8
2012,Georgia,34.56,40.52
2011,Georgia,24.41,30.28
2012,Georgia,22.51,43.78
2012,Georgia,37.88,46.94
2012,Georgia,38.5,47.48
2011,Georgia,40.32,15.62
2011,Georgia,21.07,10.22
2011,Georgia,36.29,24.49
2011,Georgia,38.02,43.64
2012,Georgia,37.88,21.33
2012,Georgia,40.91,25.63
2012,Georgia,28.82,43.28
2011,Georgia,23.66,43.2
2011,Georgia,26.25,25.43
2011,Georgia,27.47,13.1
2012,Georgia,24.77,16.55
2011,Georgia,22.87,11.35
2012,Georgia,32.82,11.23
2011,Georgia,34.07,19.39
2012,Georgia,40.03,11.53
2011,Georgia,23.72,39.26
2011,Georgia,32.31,28.33
2011,Georgia,44.86,19.65
2011,Georgia,28.32,27.05
2012,Georgia,24.18,28.05
2012,Georgia,33.72,44.68
2011,Georgia,20.1,20.39
2011,Georgia,34.68,33.44
2012,Georgia,26.76,24.22
2012,Georgia,35.82,39.26
2012,Georgia,22.41,30.85
2011,Georgia,40.46,35.2
2011,Georgia,22.29,36.81
2011,Georgia,44.38,17.56
2011,Georgia,25.1,33.78
2012,Georgia,37.9,15.83
2011,Georgia,20.11,35.25
2011,Georgia,34.49,16.54
2012,Georgia,35.96,23.33
2012,Georgia,44.09,23.9
2011,Georgia,41.45,35.34
2012,Georgia,20.74,45.61
2011,Georgia,33.47,30.03
2011,Georgia,35.95,27.0
2011,Georgia,44.41,40.81
2011,Georgia,26.99,17.45
2012,Georgia,43.71,29.98
2011,Georgia,32.98,33.52
2012,Georgia,20.31,37.36
2012,Georgia,26.65,24.87
2012,Georgia,31.67,23.35
2011,Georgia,32.73,38.87
2011,Georgia,25.02,27.47
2012,Georgia,40.32,15.61
2012,Georgia,44.9,19.6
2012,Georgia,43.71,39.97
2012,Georgia,28.49,36.76
2012,Georgia,42.48,17.1
2011,Georgia,33.63,12.37
2012,Georgia,42.0,40.69
2011,Georgia,25.27,22.69
2011,Georgia,32.33,18.15
2012,Georgia,44.23,29.21
2011,Georgia,33.88,39.79
2012,Georgia,36.99,40.94
2011,Georgia,39.99,20.16
2011,Georgia,25.37,30.0
2011,Georgia,35.92,18.85
2012,Georgia,21.46,46.03
2011,Georgia,25.35,23.42
2012,Georgia,39.38,21.4
2011,Georgia,26.77,19.98
2011,Georgia,43.51,23.1
2011,Georgia,44.9,32.64
2012,Georgia,32.99,25.77
2011,Georgia,39.86,28.68
2011,Georgia,21.67,34.11
2011,Georgia,37.23,21.9
2011,Georgia,22.61,32.15
2011,Georgia,35.06,24.77
2011,Georgia,20.73,33.72
2011,Georgia,35.74,23.67
2011,Georgia,34.39,45.25
2012,Georgia,38.37,11.05
2012,Georgia,43.41,14.68
2011,Georgia,26.06,11.9
2012,Georgia,42.86,41.74
2011,Georgia,35.08,15.46
2011,Georgia,37.68,38.91
2011,Georgia,40.0,46.48
2011,Georgia,39.13,15.39
2011,Georgia,28.13,36.1
2011,Georgia,26.32,15.65
2012,Georgia,24.24,31.61
2011,Georgia,32.06,13.83
2011,Georgia,30.95,19.4
2011,Georgia,36.34,38.51
2012,Georgia,26.71,49.78
2012,Georgia,21.3,44.88
2011,Georgia,40.44,17.85
2011,Georgia,22.34,37.95
2011,Georgia,34.74,40.54
2011,Georgia,22.46,25.86
2011,Georgia,30.29,33.57
2011,Georgia,42.28,29.11
2012,Georgia,40.34,33.37
2012,Georgia,22.65,29.71
2012,Georgia,29.55,33.84
2012,Georgia,28.11,46.15
2012,Georgia,24.68,31.13
2011,Georgia,43.04,35.4
2012,Georgia,35.54,24.05
2011,Georgia,31.49,24.48
2011,Georgia,31.62,23.9
2012,Georgia,29.46,21.64
2012,Georgia,35.32,34.06
2011,Georgia,21.08,46.48
2011,Georgia,20.48,43.79
2012,Georgia,25.08,44.01
2012,Georgia,30.68,43.44
2012,Georgia,28.32,43.23
2012,Georgia,22.6,14.56
2011,Georgia,27.6,20.93
2011,Georgia,34.75,42.91
2011,Georgia,38.55,39.28
2012,Georgia,21.78,23.93
2011,Georgia,30.12,22.08
2011,Georgia,26.92,21.94
2011,Georgia,30.91,44.89
2012,Georgia,25.51,22.27
2012,Georgia,21.43,13.2
2012,Georgia,23.93,34.8
2011,Georgia,27.02,46.43
2012,Georgia,43.74,45.38
2011,Georgia,37.63,11.09
2012,Georgia,27.6,46.21
2011,Georgia,23.97,38.89
2011,Georgia,30.26,13.8
2011,Georgia,37.71,12.04
2011,Georgia,33.35,34.39
2011,Georgia,41.52,35.54
2012,Georgia,22.88,40.77
2011,Georgia,22.52,32.93
2012,Georgia,27.29,46.6
2012,Georgia,40.88,27.47
2011,Georgia,33.2,34.91
2012,Georgia,25.37,22.51
2012,Georgia,40.71,39.14
2012,Georgia,26.15,25.54
2012,Georgia,38.11,14.99
2011,Georgia,20.32,45.61
2012,Georgia,33.12,23.35
2011,Georgia,39.32,27.13
2011,Georgia,33.36,41.88
2011,Georgia,21.6,20.95
2011,Georgia,32.94,44.92
2011,Georgia,32.07,14.7
2011,Georgia,39.79,34.0
2012,Georgia,32.46,26.95
2011,Georgia,42.12,37.16
2011,Georgia,21.45,40.03
2011,Georgia,41.22,23.51
2011,Georgia,34.7,30.0
2011,Georgia,24.11,29.28
2012,Georgia,24.43,24.24
2012,Georgia,22.58,43.07
2011,Georgia,44.7,32.83
2011,Georgia,20.57,15.43
2011,Georgia,35.55,39.16
2011,Georgia,25.35,27.69
2011,Georgia,43.16,24.81
2012,Georgia,26.97,16.16
2011,Georgia,27.02,36.99
2011,Georgia,34.44,17.02
2012,Georgia,21.02,37.29
2012,Georgia,44.44,44.47
2011,Georgia,43.28,12.05
2012,Georgia,36.75,25.0
2012,Georgia,38.73,17.84
2012,Georgia,44.82,22.94
2011,Georgia,42.72,32.23
2012,Georgia,29.37,32.68
2011,Georgia,22.12,29.52
2012,Georgia,23.36,44.56
2012,Georgia,24.38,26.25
2012,Georgia,39.5,39.38
2011,Georgia,40.78,47.65
2011,Georgia,29.99,45.55
2011,Georgia,43.86,15.17
2011,Georgia,35.72,16.95
2011,Georgia,22.76,44.75
2012,Georgia,35.4,39.52
2012,Georgia,23.97,25.27
2011,Georgia,27.58,49.35
2011,Georgia,37.63,11.88
2012,Georgia,38.3,35.85
2011,Georgia,41.25,23.2
2012,Georgia,42.76,18.32
2011,Georgia,44.47,31.8
2012,Georgia,25.22,18.62
2012,Georgia,24.98,46.01
2011,Georgia,39.57,35.5
2011,Georgia,31.25,32.04
2012,Georgia,42.61,29.61
2012,Georgia,20.39,45.39
2011,Georgia,39.22,38.06
2012,Georgia,30.73,42.01
2012,Georgia,27.65,26.59
2012,Georgia,39.48,15.41
2012,Georgia,35.87,21.61
2012,Georgia,33.71,17.95
2012,Georgia,39.64,39.09
2011,Georgia,40.74,21.34
2012,Georgia,36.8,16.18
2012,Georgia,28.09,13.47
2011,Georgia,25.82,27.28
2012,Georgia,31.0,17.15
2012,Georgia,22.15,17.3
2011,Georgia,30.86,35.0
2011,Georgia,34.76,26.45
2012,Georgia,41.91,30.57
2011,Georgia,21.95,32.11
2012,Georgia,25.31,42.23
2011,Georgia,31.89,38.57
2012,Georgia,40.66,14.28
2012,Georgia,35.38,18.94
2011,Georgia,29.85,38.05
2012,Georgia,39.92,49.85
2012,Georgia,39.31,26.48
2012,Georgia,31.89,23.29
2012,Georgia,39.67,43.77
2012,Georgia,25.19,27.91
2011,Georgia,34.53,27.66
2011,Georgia,29.56,47.72
2011,Georgia,35.32,18.14
2011,Georgia,21.03,21.6
2011,Georgia,39.55,10.67
2012,Georgia,20.88,45.29
2011,Georgia,43.75,47.76
2011,Georgia,32.75,32.18
2011,Georgia,33.96,22.05
2011,Georgia,33.18,15.11
2011,Georgia,44.49,31.9
2011,Georgia,23.75,38.48
2012,Georgia,21.02,14.35
2012,Georgia,43.85,24.33
2012,Georgia,36.79,23.99
2012,Georgia,43.79,35.33
2012,Georgia,32.6,30.98
2011,Georgia,40.84,11.99
2012,Georgia,29.29,22.11
2011,Georgia,34.72,48.45
2012,Georgia,42.27,30.13
2012,Georgia,34.07,32.15
2012,Georgia,38.35,27.49
2011,Georgia,25.57,30.56
2011,Georgia,32.01,13.9
2011,Georgia,36.74,21.63
2012,Georgia,23.64,15.49
2011,Georgia,27.43,40.18
2011,Georgia,43.6,31.78
2011,Georgia,20.09,42.92
2011,Georgia,26.9,36.13
2012,Georgia,37.8,19.75
2012,Georgia,43.04,31.69
2012,Georgia,27.56,12.06
2012,Georgia,39.4,19.15
2011,Georgia,35.91,35.54
2011,Georgia,24.11,29.7
2012,Georgia,40.14,10.4
2012,Georgia,42.38,24.9
2012,Georgia,22.08,24.17
2011,Georgia,39.14,18.6
2011,Georgia,26.19,30.17
2012,Georgia,31.88,15.2
2012,Georgia,27.41,38.68
2012,Georgia,29.38,34.47
2012,Georgia,39.68,46.72
2011,Georgia,43.27,13.21
2011,Georgia,27.0,48.6
2012,Georgia,34.25,46.79
2011,Georgia,37.64,42.94
2012,Georgia,42.49,31.73
2011,Georgia,22.97,16.2
2012,Georgia,29.73,44.62
2012,Georgia,24.69,29.68
2011,Georgia,41.87,20.73
2012,Georgia,40.9,40.55
2012,Georgia,20.94,37.08
2012,Georgia,23.96,37.33
2011,Georgia,39.07,41.46
2011,Georgia,41.84,41.63
2012,Georgia,21.91,14.04
2011,Georgia,43.08,45.85
2012,Georgia,38.2,26.82
2012,Georgia,32.46,13.42
2011,Georgia,37.9,19.7
2011,Georgia,39.9,13.23
2011,Georgia,30.25,15.62
2011,Georgia,25.96,45.88
2011,Georgia,20.08,16.01
2011,Georgia,36.31,23.56
2012,Georgia,26.52,36.24
2012,Georgia,36.05,38.4
2011,Georgia,26.08,20.43
2011,Georgia,22.03,12.12
2011,Georgia,26.86,35.93
2011,Georgia,32.54,35.66
2011,Georgia,24.04,46.61
2011,Georgia,21.03,28.76
2011,Georgia,35.89,11.3
2012,Georgia,25.63,22.78
2012,Georgia,42.84,19.29
2011,Georgia,41.88,25.23
2011,Georgia,39.48,25.59
2012,Georgia,24.49,47.45
2012,Georgia,20.93,16.88
2012,Georgia,36.12,41.11
2012,Georgia,34.39,39.59
2012,Georgia,26.32,13.81
2012,Georgia,20.03,47.59
2011,Georgia,31.61,27.28
2012,Georgia,24.68,24.77
2011,Georgia,38.7,31.66
2011,Georgia,30.28,13.29
2011,Georgia,22.37,30.55
2011,Georgia,28.79,36.04
2012,Georgia,22.53,41.6
2011,Georgia,44.67,46.44
2012,Georgia,36.39,41.63
2011,Georgia,25.74,45.91
2012,Georgia,25.65,47.49
2011,Georgia,38.66,40.6
2011,Georgia,35.03,49.8
2012,Georgia,39.11,32.65
2011,Georgia,34.58,45.82
2012,Georgia,36.44,33.52
2011,Georgia,25.66,18.35
2011,Georgia,40.2,18.33
2011,Georgia,22.82,42.47
2012,Georgia,27.38,26.82
2012,Georgia,32.7,19.07
2011,Georgia,24.45,14.65
2011,Georgia,36.03,28.16
2011,Georgia,27.19,27.79
2012,Georgia,31.96,14.88
2011,Georgia,33.07,34.25
2012,Georgia,44.65,13.54
2011,Georgia,40.07,17.2
2012,Georgia,23.45,48.37
2011,Georgia,25.36,44.43
2012,Georgia,20.31,19.55
2012,Georgia,40.11,49.35
2011,Georgia,35.53,25.14
2012,Georgia,40.32,41.35
2012,Georgia,23.2,13.06
2012,Georgia,23.55,39.01
2011,Georgia,35.7,24.22
2011,Georgia,31.42,14.47
2012,Georgia,40.31,18.26
2011,Georgia,39.14,24.9
2012,Georgia,39.68,17.96
2011,Georgia,40.05,25.83
2011,Georgia,30.14,32.23
2012,Georgia,30.02,33.57
2012,Georgia,34.56,47.95
2012,Georgia,24.12,49.76
2012,Georgia,20.34,34.21
2011,Georgia,21.44,37.97
2012,Georgia,28.64,10.64
2012,Georgia,40.55,29.44
2012,Georgia,39.19,12.74
2011,Georgia,25.2,39.35
2012,Georgia,36.47,37.01
2012,Georgia,34.89,23.1
2012,Georgia,30.34,26.72
2012,Georgia,27.16,49.5
2012,Georgia,39.56,25.8
2011,Georgia,44.72,39.21
2012,Georgia,33.41,44.88
2011,Georgia,44.8,33.94
2011,Georgia,43.15,49.87
2011,Georgia,43.7,35.84
2012,Georgia,37.97,11.3
2011,Georgia,38.3,10.68
2012,Georgia,33.66,12.32
2011,Georgia,28.09,32.57
2011,Georgia,28.93,11.96
2012,Georgia,22.98,39.71
2011,Georgia,34.46,29.89
2012,Georgia,26.88,27.9
2012,Georgia,35.23,43.53
2012,Georgia,22.13,27.37
2011,Georgia,34.08,31.37
2012,Georgia,36.3,40.05
2012,Georgia,37.96,31.28
2012,Georgia,40.28,32.98
2012,Georgia,30.63,30.34
2012,Georgia,36.66,37.26
2012,Georgia,38.21,34.04
2012,Georgia,43.47,32.57
2011,Georgia,36.53,16.24
2011,Georgia,31.97,38.29
2011,Georgia,41.0,33.02
2011,Georgia,40.39,46.11
2012,Georgia,34.73,10.43
2011,Georgia,31.23,41.69
2011,Georgia,31.71,49.53
2012,Georgia,31.23,11.48
2011,Georgia,25.55,33.05
2012,Georgia,31.52,31.93
2011,Georgia,20.79,31.57
2012,Georgia,39.57,25.41
2011,Georgia,34.04,41.99
2011,Georgia,22.8,27.83
2011,Georgia,37.25,22.02
2011,Georgia,26.63,42.26
2012,Georgia,36.31,17.95
2011,Georgia,31.95,21.41
2012,Georgia,38.64,23.65
2011,Georgia,28.37,38.44
2012,Georgia,27.9,39.29
2012,Georgia,33.04,43.52
2012,Georgia,21.45,39.57
2011,Georgia,35.25,13.58
2011,Georgia,21.06,12.17
2011,Georgia,38.12,10.88
2011,Georgia,25.23,22.74
2012,Georgia,34.48,31.02
2012,Georgia,30.25,47.2
2012,Georgia,39.18,48.54
2011,Georgia,27.87,34.23
2012,Georgia,39.34,40.1
2012,Georgia,42.23,38.44
2011,Georgia,33.49,49.97
2012,Georgia,40.32,13.8
2011,Georgia,20.58,22.33
2011,Georgia,44.19,30.98
2011,Georgia,29.51,47.9
2011,Georgia,28.78,41.23
2012,Georgia,26.84,23.77
2011,Georgia,32.44,24.53
2012,Georgia,41.99,17.34
2011,Georgia,26.79,28.29
2012,Georgia,26.48,40.67
2012,Georgia,35.25,26.85
2011,Georgia,41.47,44.76
2012,Georgia,42.53,14.69
2011,Georgia,39.02,38.18
2012,Georgia,24.3,10.02
2011,Georgia,28.95,33.46
2012,Georgia,20.52,11.13
2012,Georgia,27.69,15.74
2011,Georgia,41.69,32.14
2012,Georgia,38.58,21.21
2012,Georgia,29.14,24.17
2011,Georgia,37.78,31.82
2011,Georgia,38.61,28.02
2011,Georgia,25.57,32.65
2011,Georgia,35.86,18.55
2012,Georgia,35.56,34.78
2011,Georgia,26.74,28.62
2011,Georgia,21.04,46.25
2012,Georgia,20.46,10.2
2012,Georgia,31.72,39.61
2012,Georgia,31.09,46.28
2012,Georgia,34.18,43.22
2011,Georgia,24.09,22.38
2012,Georgia,26.2,40.55
2012,Georgia,32.9,33.94
2011,Georgia,20.53,36.71
2011,Georgia,25.85,40.85
2012,Georgia,34.16,45.84
2011,Georgia,41.04,14.46
2012,Georgia,42.38,29.25
2012,Georgia,38.59,45.6
2012,Georgia,38.19,24.56
2011,Georgia,20.2,41.45
2012,Georgia,40.1,44.93
2012,Georgia,29.05,20.49
2012,Georgia,25.15,11.37
2012,Georgia,25.13,20.92
2012,Georgia,25.76,31.05
2011,Georgia,26.18,19.82
2012,Georgia,42.89,22.04
2012,Georgia,36.0,33.96
2011,Georgia,21.23,10.08
2011,Georgia,28.43,21.09
2012,Georgia,21.38,49.99
2012,Georgia,37.72,41.13
2011,Georgia,42.43,25.3
2012,Georgia,23.08,19.79
2012,Georgia,44.96,29.01
2012,Georgia,37.12,10.14
2012,Georgia,27.43,30.81
2012,Georgia,20.94,11.36
2011,Georgia,40.22,15.58
2012,Georgia,35.96,15.72
2011,Georgia,22.88,36.82
2012,Georgia,36.52,47.2
2012,Georgia,34.78,19.32
2011,Georgia,41.44,16.6
2011,Georgia,28.46,33.58
2011,Georgia,25.39,24.53
2012,Georgia,32.98,17.72
2012,Georgia,41.1,32.88
2011,Georgia,27.35,23.35
2012,Georgia,43.42,13.03
2011,Georgia,28.22,21.13
2011,Georgia,25.39,25.16
2011,Georgia,39.49,34.36
2011,Georgia,28.88,35.6
2011,Georgia,41.13,13.1
2011,Georgia,30.32,15.25
2012,Georgia,24.15,35.59
2012,Georgia,40.26,42.81
2011,Georgia,20.27,39.54
2012,Georgia,35.08,18.26
2011,Georgia,32.37,10.03
2011,Georgia,30.71,35.65
2011,Georgia,27.04,20.46
2012,Georgia,26.92,49.11
2011,Georgia,41.25,26.49
2011,Georgia,24.02,34.24
2012,Georgia,39.68,22.48
2012,Georgia,43.39,37.16
2012,Georgia,38.04,44.09
2011,Georgia,34.96,49.54
2012,Georgia,23.38,29.2
2011,Georgia,21.12,20.39
2011,Georgia,30.49,29.83
2012,Georgia,44.44,33.13
2011,Georgia,41.94,29.61
2011,Georgia,29.41,46.13
2012,Georgia,39.19,18.21
2012,Georgia,20.59,10.29
2012,Georgia,38.18,29.05
2012,Georgia,35.54,16.83
2011,Georgia,32.07,21.32
2011,Georgia,35.1,11.09
2011,Georgia,36.18,44.21
2011,Georgia,35.92,11.12
2011,Georgia,26.41,34.58
2011,Georgia,25.35,25.45
2012,Georgia,37.76,38.49
2012,Georgia,37.63,42.04
2011,Georgia,38.73,26.06
2012,Georgia,41.65,28.55
2011,Georgia,29.95,38.41
2012,Georgia,39.78,15.01
2012,Georgia,21.23,11.34
2011,Georgia,29.42,39.14
2012,Georgia,32.37,38.42
2012,Georgia,31.32,38.88
2011,Georgia,23.24,20.92
2012,Georgia,42.87,33.96
2012,Georgia,29.91,38.24
2012,Georgia,20.83,33.37
2012,Georgia,33.57,45.1
2011,Georgia,36.48,39.59
2012,Georgia,28.75,32.13
2011,Georgia,31.69,43.88
2011,Georgia,37.85,37.24
2011,Georgia,20.77,37.48
2011,Georgia,41.27,46.8
2011,Georgia,43.14,46.72
2012,Georgia,44.03,20.45
2011,Georgia,27.47,32.53
2012,Georgia,39.0,40.21
2011,Georgia,23.69,18.79
2012,Georgia,29.34,31.06
2012,Georgia,37.08,14.31
2012,Georgia,22.08,45.58
2012,Georgia,20.24,20.82
2011,Georgia,33.12,11.47
2012,Georgia,38.06,20.89
2011,Georgia,35.07,14.03
2012,Georgia,37.29,13.61
2012,Georgia,39.54,14.14
2011,Georgia,36.92,36.54
2011,Georgia,39.81,33.9
2012,Georgia,33.49,16.28
2012,Georgia,39.09,24.21
2012,Georgia,37.17,16.89
2012,Georgia,27.84,10.39
2011,Georgia,44.33,35.15
2012,Georgia,33.68,40.02
2011,Georgia,27.33,10.61
2011,Georgia,35.4,41.32
2011,Georgia,23.43,19.06
2011,Georgia,20.35,14.29
2012,Georgia,29.06,35.22
2011,Georgia,29.74,21.44
2012,Georgia,22.02,29.61
2012,Georgia,32.65,18.21
2012,Georgia,44.36,16.73
2011,Georgia,38.17,18.34
2011,Georgia,40.61,41.76
2012,Georgia,44.08,22.84
2012,Georgia,20.92,32.96
2011,Georgia,36.31,21.84
2012,Georgia,44.78,13.39
2012,Georgia,39.43,14.18
2012,Georgia,25.08,34.78
2012,Georgia,29.46,16.49
2011,Georgia,22.68,32.46
2011,Georgia,43.84,44.61
2012,Georgia,39.56,37.14
2012,Georgia,33.19,28.23
2012,Georgia,30.34,27.39
2012,Georgia,23.1,21.09
2012,Georgia,39.93,47.9
2012,Georgia,38.25,30.11
2011,Georgia,29.27,32.62
2012,Georgia,39.62,43.36
2011,Georgia,37.24,14.2
2012,Georgia,39.9,11.34
2012,Georgia,22.77,28.68
2011,Georgia,36.96,36.8
2012,Georgia,42.15,27.08
2012,Georgia,21.78,19.42
2011,Georgia,20.02,35.57
2012,Georgia,23.21,49.85
2011,Georgia,41.21,22.12
2012,Georgia,35.27,43.19
2012,Georgia,24.16,36.97
2012,Georgia,39.42,18.06
2011,Georgia,39.46,37.31
2011,Georgia,21.38,20.93
2011,Georgia,28.75,13.62
2011,Georgia,28.46,32.9
2011,Georgia,24.92,47.19
2011,Georgia,32.62,37.57
2011,Georgia,34.03,20.29
2012,Georgia,41.91,34.76
2011,Georgia,29.78,16.46
2011,Georgia,23.4,13.4
2011,Georgia,32.2,33.19
2012,Georgia,43.0,35.71
2011,Georgia,36.13,48.05
2011,Georgia,28.1,20.87
2012,Georgia,36.93,43.22
2012,Georgia,25.14,29.2
2011,Georgia,39.66,40.46
2012,Georgia,31.22,33.34
2012,Georgia,22.57,21.89
2011,Georgia,23.41,27.85
2011,Georgia,35.76,21.23
2012,Georgia,43.17,33.03
2012,Georgia,37.33,38.58
2012,Georgia,31.89,20.47
2012,Georgia,43.71,44.41
2011,Georgia,33.11,42.08
2012,Georgia,34.88,34.15
2011,Georgia,27.52,14.09
2011,Georgia,26.53,10.27
2011,Georgia,30.1,37.99
2011,Georgia,42.95,42.66
2011,Georgia,29.51,25.93
2012,Georgia,21.18,42.99
2012,Georgia,23.27,33.29
2012,Georgia,20.1,19.96
2012,Georgia,42.57,10.05
2012,Georgia,31.15,37.83
2012,Georgia,43.04,46.85
2011,Georgia,30.86,36.29
2011,Georgia,43.2,15.36
2011,Georgia,44.06,26.18
2012,Georgia,21.87,19.84
2011,Georgia,28.24,47.89
2011,Georgia,31.43,19.83
2012,Georgia,23.62,48.02
2012,Georgia,30.9,42.74
2012,Georgia,21.37,34.53
2012,Georgia,25.19,25.51
2012,Georgia,21.12,16.34
2011,Georgia,42.57,38.67
2011,Georgia,29.95,44.74
2011,Georgia,29.41,22.86
2012,Georgia,43.3,15.27
2012,Georgia,34.22,42.49
2012,Georgia,35.68,41.54
2011,Georgia,30.37,31.06
2012,Georgia,23.11,48.88
2012,Georgia,41.0,34.75
2011,Georgia,31.96,23.52
2012,Georgia,44.43,20.92
2012,Georgia,24.26,45.28
2011,Georgia,34.76,10.84
2012,Georgia,43.93,45.9
2012,Georgia,44.85,24.75
2012,Georgia,42.69,17.65
2012,Georgia,25.61,36.33
2012,Georgia,34.62,27.11
2012,Georgia,32.95,47.48
2012,Georgia,24.86,34.13
2012,Georgia,42.39,30.01
2012,Georgia,39.05,19.71
2012,Georgia,35.86,35.1
2011,Georgia,36.79,20.15
2012,Georgia,30.58,22.48
2011,Georgia,35.11,13.73
2011,Georgia,30.26,18.18
2011,Georgia,32.77,12.33
2011,Georgia,36.16,36.95
2011,Georgia,29.06,41.1
2011,Georgia,23.44,36.23
2012,Georgia,43.0,41.23
2012,Georgia,35.8,35.11
2012,Georgia,41.67,49.07
2012,Georgia,22.25,19.48
2011,Georgia,21.7,15.16
2012,Georgia,23.6,46.3
2011,Georgia,42.67,12.79
2012,Georgia,32.5,29.94
2012,Georgia,21.16,41.98
2012,Georgia,29.65,23.47
2011,Georgia,22.05,36.03
2011,Georgia,26.53,42.05
2011,Georgia,32.98,49.96
2012,Georgia,44.57,31.04
2012,Georgia,44.61,26.52
2012,Georgia,41.88,34.06
2012,Georgia,29.07,16.99
2011,Georgia,24.01,18.85
2011,Georgia,24.72,23.23
2011,Georgia,40.67,26.5
2012,Georgia,25.79,16.95
2012,Georgia,32.58,18.46
2011,Georgia,25.36,22.77
2011,Georgia,40.95,43.95
2011,Georgia,26.05,31.9
2011,Georgia,28.83,21.67
2012,Georgia,22.62,40.14
2012,Georgia,43.81,23.17
2012,Georgia,42.75,20.8
2011,Georgia,33.24,13.11
2012,Georgia,36.67,43.47
2011,Georgia,41.9,12.17
2011,Georgia,44.83,31.8
2012,Georgia,41.77,28.79
2012,Georgia,42.09,38.38
2012,Georgia,26.27,14.3
2012,Georgia,24.06,22.23
2011,Georgia,27.8,48.41
2011,Georgia,38.15,27.35
2011,Georgia,44.56,47.82
2012,Georgia,39.9,43.66
2012,Georgia,20.4,11.53
2011,Georgia,30.62,30.61
2011,Georgia,29.87,43.09
2011,Georgia,29.31,22.32
2011,Georgia,24.58,42.72
2011,Georgia,43.31,38.81
2012,Georgia,32.38,13.91
2012,Georgia,22.81,45.72
2012,Georgia,20.73,48.34
2012,Georgia,24.67,49.22
2011,Georgia,22.01,35.19
2011,Georgia,24.57,38.19
2011,Georgia,27.97,43.67
2011,Georgia,30.23,45.81
2012,Georgia,35.84,17.27
2012,Georgia,30.11,13.06
2011,Georgia,32.84,19.45
2011,Georgia,24.89,43.2
2011,Georgia,40.55,12.96
2011,Georgia,20.08,37.75
2012,Georgia,34.79,19.58
2011,Georgia,26.12,45.98
2012,Georgia,24.56,32.88
2011,Georgia,37.45,25.38
2011,Georgia,26.95,22.86
2012,Georgia,29.17,14.69
2012,Georgia,40.82,31.43
2011,Georgia,41.34,18.92
2011,Georgia,21.25,45.73
2011,Georgia,21.06,42.72
2012,Georgia,24.97,12.18
2012,Georgia,36.63,23.81
2011,Georgia,32.73,24.84
2012,Georgia,24.21,39.32
2012,Georgia,33.92,36.61
2012,Georgia,39.41,38.49
2012,Georgia,26.27,21.97
2011,Georgia,38.13,41.34
2011,Georgia,27.22,23.83
2011,Georgia,23.8,38.46
2011,Georgia,30.61,28.63
2012,Georgia,37.56,48.61
2012,Georgia,38.42,29.34
2012,Georgia,20.65,15.49
2012,Georgia,42.31,43.24
2012,Georgia,21.23,45.79
2011,Georgia,32.47,48.09
2012,Georgia,29.02,13.35
2012,Georgia,33.79,49.69
2011,Georgia,43.8,20.74
2012,Georgia,34.59,19.41
2012,Georgia,33.39,31.4
2012,Georgia,23.87,48.98
2012,Georgia,38.39,11.12
2012,Georgia,35.28,10.7
2012,Georgia,38.64,25.52
2012,Georgia,39.65,43.63
2012,Georgia,22.53,29.67
2012,Georgia,34.71,34.89
2012,Georgia,26.83,11.27
2011,Georgia,39.04,47.09
2012,Georgia,36.0,42.47
2011,Georgia,39.29,29.75
2011,Georgia,36.84,12.81
2011,Georgia,28.99,29.97
2012,Georgia,36.62,39.91
2012,Georgia,34.79,41.47
2012,Georgia,24.7,10.91
2011,Georgia,38.4,16.84
2011,Georgia,22.99,13.5
2011,Georgia,32.19,21.42
2012,Georgia,25.53,23.4
2012,Georgia,21.32,46.57
2012,Georgia,25.82,21.56
2012,Georgia,44.03,31.16
2011,Georgia,42.52,41.75
2012,Georgia,32.69,26.1
2012,Georgia,27.78,37.82
2011,Georgia,22.85,37.72
2011,Georgia,24.76,21.0
2011,Georgia,41.77,12.66
2011,Georgia,29.15,21.96
2012,Georgia,41.89,13.23
2011,Georgia,32.2,23.13
2012,Georgia,23.83,11.26
2011,Georgia,41.2,19.18
2011,Georgia,20.54,12.1
2012,Georgia,35.85,10.83
2012,Georgia,44.99,18.62
2011,Georgia,26.77,16.43
2012,Georgia,20.47,20.99
2012,Georgia,42.76,10.66
2011,Georgia,27.37,45.27
2012,Georgia,33.92,40.49
2012,Georgia,33.94,25.33
2012,Georgia,28.43,20.95
2012,Georgia,26.47,18.15
2012,Georgia,20.83,11.39
2011,Georgia,24.21,33.85
2012,Georgia,23.68,36.82
2012,Georgia,36.51,45.06
2011,Georgia,21.63,44.72
2012,Georgia,24.29,33.65
2012,Georgia,31.32,12.81
2012,Georgia,39.69,17.02
